64	1678	107392	1.00	0.50	0.50	107392.00	214784.00	214784.00
62	1732	107384	1.00	0.50	0.50	107384.00	214768.00	214768.00
60	1790	107400	1.00	0.50	0.50	107400.00	214800.00	214800.00
58	1852	107416	1.00	0.50	0.50	107416.00	214832.00	214832.00
56	1918	107408	1.00	0.50	0.50	107408.00	214816.00	214816.00
54	1989	107406	1.00	0.50	0.50	107406.00	214812.00	214812.00
52	2065	107380	1.00	0.50	0.50	107380.00	214760.00	214760.00
50	2148	107400	1.00	0.50	0.50	107400.00	214800.00	214800.00
48	2237	107376	1.00	0.50	0.50	107376.00	214752.00	214752.00
46	2335	107410	1.00	0.50	0.50	107410.00	214820.00	214820.00
44	2441	107404	1.00	0.50	0.50	107404.00	214808.00	214808.00
42	2557	107394	2.00	1.00	1.00	53697.00	107394.00	107394.00
40	2685	107400	1.00	0.50	0.50	107400.00	214800.00	214800.00
38	2826	107388	1.00	0.50	0.50	107388.00	214776.00	214776.00
36	2983	107388	1.00	0.50	0.50	107388.00	214776.00	214776.00
34	3159	107406	2.00	1.00	1.00	53703.00	107406.00	107406.00
32	3356	107392	1.00	0.50	0.50	107392.00	214784.00	214784.00
30	3580	107400	2.00	1.00	1.00	53700.00	107400.00	107400.00
28	3835	107380	2.00	1.00	1.00	53690.00	107380.00	107380.00
26	4130	107380	2.00	1.00	1.00	53690.00	107380.00	107380.00
24	4474	107376	2.00	1.00	1.00	53688.00	107376.00	107376.00
22	4881	107382	2.00	1.00	1.00	53691.00	107382.00	107382.00
20	5369	107380	2.00	1.00	1.00	53690.00	107380.00	107380.00
18	5966	107388	3.00	1.50	1.50	35796.00	71592.00	71592.00
16	6711	107376	3.00	1.50	1.50	35792.00	71584.00	71584.00
14	7670	107380	3.00	1.50	1.50	35793.33	71586.67	71586.67
12	8948	107376	3.00	1.50	1.50	35792.00	71584.00	71584.00
10	10738	107380	4.00	2.00	2.00	26845.00	53690.00	53690.00
8	13422	107376	6.00	3.00	3.00	17896.00	35792.00	35792.00
6	17896	107376	6.00	3.00	3.00	17896.00	35792.00	35792.00
4	26844	107376	9.00	4.50	4.50	11930.67	23861.33	23861.33
2	53687	107374	19.00	9.50	9.50	5651.26	11302.53	11302.53
64	1678	107392	0.00	0.00	0.00	inf	inf	inf
62	1732	107384	1.00	0.50	0.50	107384.00	214768.00	214768.00
60	1790	107400	1.00	0.50	0.50	107400.00	214800.00	214800.00
58	1852	107416	1.00	0.50	0.50	107416.00	214832.00	214832.00
56	1918	107408	1.00	0.50	0.50	107408.00	214816.00	214816.00
54	1989	107406	1.00	0.50	0.50	107406.00	214812.00	214812.00
52	2065	107380	1.00	0.50	0.50	107380.00	214760.00	214760.00
50	2148	107400	1.00	0.50	0.50	107400.00	214800.00	214800.00
48	2237	107376	1.00	0.50	0.50	107376.00	214752.00	214752.00
46	2335	107410	1.00	0.50	0.50	107410.00	214820.00	214820.00
44	2441	107404	2.00	1.00	1.00	53702.00	107404.00	107404.00
42	2557	107394	1.00	0.50	0.50	107394.00	214788.00	214788.00
40	2685	107400	1.00	0.50	0.50	107400.00	214800.00	214800.00
38	2826	107388	2.00	1.00	1.00	53694.00	107388.00	107388.00
36	2983	107388	1.00	0.50	0.50	107388.00	214776.00	214776.00
34	3159	107406	2.00	1.00	1.00	53703.00	107406.00	107406.00
32	3356	107392	2.00	1.00	1.00	53696.00	107392.00	107392.00
30	3580	107400	1.00	0.50	0.50	107400.00	214800.00	214800.00
28	3835	107380	2.00	1.00	1.00	53690.00	107380.00	107380.00
26	4130	107380	2.00	1.00	1.00	53690.00	107380.00	107380.00
24	4474	107376	2.00	1.00	1.00	53688.00	107376.00	107376.00
22	4881	107382	3.00	1.50	1.50	35794.00	71588.00	71588.00
20	5369	107380	2.00	1.00	1.00	53690.00	107380.00	107380.00
18	5966	107388	3.00	1.50	1.50	35796.00	71592.00	71592.00
16	6711	107376	4.00	2.00	2.00	26844.00	53688.00	53688.00
14	7670	107380	3.00	1.50	1.50	35793.33	71586.67	71586.67
12	8948	107376	5.00	2.50	2.50	21475.20	42950.40	42950.40
10	10738	107380	5.00	2.50	2.50	21476.00	42952.00	42952.00
8	13422	107376	6.00	3.00	3.00	17896.00	35792.00	35792.00
6	17896	107376	7.00	3.50	3.50	15339.43	30678.86	30678.86
4	26844	107376	9.00	4.50	4.50	11930.67	23861.33	23861.33
2	53687	107374	20.00	10.00	10.00	5368.70	10737.40	10737.40
